"model_name" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh" "opt_bio10" "opt_bio14" "opt_occ_prob"
"glm_1000x10" 0.993460191094557 0.924295862734757 0.731503148357694 0.976070528967254 0.948225333767502 0.950434695713001 0.713525645015898 0.33 18.2137925378208 85.2248062015504 0.94919191728685
"gam_1000x10" 0.99250887408303 0.919452744602209 0.738090651290411 0.968513853904282 0.950938890697927 0.95233336664335 0.499917101689669 0.05 18.2137925378208 124 0.442802748207016
"glm_1000x5" 0.993371197363489 0.923751374208113 0.750907053089248 0.969773299748111 0.953978074460002 0.955231338063356 0.753518014651762 0.29 18.2137925378208 92.7906976744186 0.979900876781523
"gam_1000x5" 0.992558360612441 0.921711490252657 0.734138634646249 0.972292191435768 0.949419298816889 0.951234136104727 0.638723788305369 0.07 18.9408040211119 124 0.775861919841326
"glm_1000x3" 0.993171337402165 0.924406182152533 0.711500408983022 0.982367758186398 0.942038423966135 0.945238333166783 0.727611209852463 0.28 17.4867810545297 62.5271317829457 0.945426308021644
"gam_1000x3" 0.99178516776617 0.922707235778159 0.773952812118203 0.962216624685139 0.960490611093021 0.960627560707505 0.691476083637085 0.16 18.9408040211119 41.7209302325581 0.679857904249625
"glm_1000x1" 0.99371445889761 0.931740441239394 0.779648124015366 0.97103274559194 0.960707695647455 0.961526931148196 0.720257940574796 0.4 17.4867810545297 67.2558139534884 0.964908703734497
"gam_1000x1" 0.993699284851298 0.92994006115004 0.753822037439639 0.976070528967254 0.953869532182785 0.955631058259219 0.743876364902854 0.28 18.2137925378208 67.2558139534884 0.932030984708873
