"model_name" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh" "opt_bio10" "opt_bio14" "opt_occ_prob"
"glm_500x10" 0.992674649550735 0.916106078755355 0.759652771966342 0.957253886010363 0.958852192744992 0.958728889777156 0.75548537724157 0.26 18.7948276914399 112 0.973423384607174
"gam_500x10" 0.993593518126299 0.93271668663089 0.753403525834269 0.977979274611399 0.954737412019491 0.95653042869991 0.547239021517782 0.04 18.7948276914399 112 0.824611678328557
"glm_500x5" 0.99435318721579 0.933033402436664 0.745439608515689 0.980569948186529 0.952463454250135 0.954631757769561 0.752815965507639 0.25 18.7948276914399 97.3720930232558 0.970761970959413
"gam_500x5" 0.995106684695249 0.941383450547169 0.795889868063954 0.976683937823834 0.964699512723335 0.965624063155791 0.586915051178614 0.07 18.7948276914399 80.1627906976744 0.670793262131887
"glm_500x3" 0.994694028406238 0.937497440184475 0.793799426427051 0.97279792746114 0.964699512723335 0.965324273008894 0.75941745188877 0.32 18.1413794221549 78.4418604651163 0.942348513149375
"gam_500x3" 0.994592056576832 0.938351506854695 0.782334511023243 0.976683937823834 0.961667569030861 0.962826021784751 0.711493144581924 0.12 18.1413794221549 73.2790697674419 0.775962872659046
"glm_500x1" 0.995079613769423 0.938042926353055 0.801511722301685 0.971502590673575 0.96654033567948 0.966923153792345 0.768855948160211 0.33 18.1413794221549 75.8604651162791 0.961986919299205
"gam_500x1" 0.995113697888468 0.942129233514087 0.783932433331427 0.980569948186529 0.961559285327558 0.963025881882682 0.768912075843485 0.23 18.1413794221549 89.6279069767442 0.960768616440189
