"alg" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh"
"glm_20x10" 0.990964722822174 0.92581713462923 0.736340628256662 0.973333333333333 0.952483801295896 0.954045954045954 0.698473712875201 0.22
"gam_20x10" 0.979784017278618 0.866047516198704 0.57178302532512 0.96 0.906047516198704 0.91008991008991 0.337501517503964 0.03
"glm_20x5" 0.988761699064075 0.900230381569474 0.72661239242485 0.946666666666667 0.953563714902808 0.953046953046953 0.678052500685182 0.25
"gam_20x5" 0.986796256299496 0.887271418286537 0.676035786967707 0.946666666666667 0.94060475161987 0.941058941058941 0.465396420893248 0.08
"glm_20x3" 0.990763138948884 0.922577393808495 0.723191963655859 0.973333333333333 0.949244060475162 0.951048951048951 0.685798859717144 0.21
"gam_20x3" 0.974139668826494 0.838675305975522 0.52807847830423 0.946666666666667 0.892008639308855 0.896103896103896 0.501420087382109 0.08
"glm_20x1" 0.989985601151908 0.912483801295896 0.729289779102485 0.96 0.952483801295896 0.953046953046953 0.715087144672157 0.19
"gam_20x1" 0.995637149028078 0.943844492440605 0.715798899274919 1 0.943844492440605 0.948051948051948 0.748954420219217 0.16
