"model_name" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh" "opt_bio10" "opt_bio14" "opt_occ_prob"
"glm_100x10" 0.992702122571367 0.9191546125271 0.727270579649361 0.967611336032389 0.951543276494712 0.952733086839213 0.73323937730806 0.22 17.6086208080423 58.1627906976744 0.855869475040425
"gam_100x10" 0.990616224101405 0.917911986794262 0.736782761300604 0.963562753036437 0.954349233757824 0.955031477965424 0.408901714225998 0.03 10.8000001907349 50.8372093023256 0.511803615812866
"glm_100x5" 0.99264765210441 0.913432737566242 0.723098399867365 0.96221322537112 0.951219512195122 0.952033576496452 0.717007576739355 0.25 18.2275863187066 67.9302325581395 0.849493810896738
"gam_100x5" 0.993026760728716 0.922498137954759 0.761719642550481 0.96221322537112 0.960284912583639 0.960427700609573 0.562153414151772 0.08 18.2275863187066 48.3953488372093 0.415686601350884
"glm_100x3" 0.989680468084821 0.905879256743196 0.684489161475155 0.964912280701754 0.940966976041442 0.94274008194264 0.714549504062282 0.18 17.6086208080423 47.5813953488372 0.822212079315375
"gam_100x3" 0.988942349564659 0.911167406969831 0.704682109924233 0.964912280701754 0.946255126268077 0.947636654341961 0.613161228723633 0.06 19.4655173400353 44.3255813953488 0.481636760831307
"glm_100x1" 0.991696603577049 0.911921837501489 0.716969417780506 0.96221322537112 0.949708612130369 0.950634555810932 0.690754515465877 0.26 18.2275863187066 67.1162790697674 0.794256075706706
"gam_100x1" 0.992658429683433 0.921529903558145 0.727363584309473 0.970310391363023 0.951219512195122 0.952633156790247 0.687865697848622 0.27 18.846551829371 107 0.799063833974631
