"model_name" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh" "opt_bio10" "opt_bio14" "opt_occ_prob"
"glm_50x10" 0.987237567451553 0.886339811957971 0.671911005997822 0.945429740791269 0.940910071166703 0.941241131208154 0.658643558685677 0.26 19.4655173400353 107 0.9911216494543
"gam_50x10" 0.990525522658514 0.916639427630122 0.684128803962811 0.976807639836289 0.939831787793832 0.942540221844709 0.360856205999059 0.04 19.4655173400353 107 0.554386857565655
"glm_50x5" 0.991101587827431 0.911590325282641 0.719849279796072 0.96043656207367 0.951153763208971 0.951833716398521 0.700658076938306 0.23 18.2275863187066 107 0.898483062307527
"gam_50x5" 0.991297385258439 0.914539202293905 0.737171358295102 0.959072305593452 0.955466896700453 0.955730988308184 0.502947775503366 0.07 18.2275863187066 107 0.512207013938693
"glm_50x3" 0.988397641486813 0.89630679853989 0.641003124664991 0.967257844474761 0.929048954065128 0.931847706605376 0.67314217176755 0.2 18.846551829371 107 0.955789902376022
"gam_50x3" 0.987856587428775 0.913873402765172 0.678248320842288 0.975443383356071 0.938430019409101 0.941141201159189 0.605117594769553 0.11 20.0844828506996 107 0.719633037015526
"glm_50x1" 0.989655393579315 0.899762012709327 0.66529379021313 0.963165075034106 0.936596937675221 0.93854301988608 0.708113868107732 0.15 19.4655173400353 107 0.991050313000343
"gam_50x1" 0.990827971582746 0.919232015101263 0.707629606142278 0.972714870395634 0.946517144705629 0.948436094733686 0.694527902858608 0.23 19.4655173400353 68.7441860465116 0.958993587553996
